OrderID,OrderDate,DeliveryDate,OriginCity,DestinationCity,Carrier,TransportMode,Warehouse,Weight_kg,Distance_km,ShippingCost_INR,CustomerRating,DeliveryStatus
ORD10214,2024-06-06,2024-06-08,Hyderabad,Delhi,XpressBees,Road,WH-Central,6.32,261.2,88.67,5.0,Delivered
ORD10495,2024-04-23,2024-04-27,Chennai,Ahmedabad,BlueDart,Road,WH-South,33.05,535.1,263.64,3.0,Delivered
ORD10668,2024-12-11,2024-12-12,Pune,Ahmedabad,Delhivery,Air,WH-South,24.86,94.6,124.38,4.0,Delivered
ORD10405,2024-07-31,2024-08-02,Pune,Jaipur,BlueDart,Air,WH-West,33.13,210.5,228.39,4.0,Delivered
ORD10718,2024-06-17,2024-06-27,Delhi,Pune,Delhivery,Sea,WH-North,32.61,941.6,303.04,4.0,Delivered
ORD10983,2024-08-07,2024-08-08,Jaipur,Hyderabad,,Air,WH-Central,13.95,166.4,153.03,5.0,Delivered
ORD11197,2024-05-08,,Kolkata,Ahmedabad,BlueDart,Road,WH-Central,42.61,410.8,321.36,5.0,Delayed
ORD10756,2024-04-10,2024-04-14,Pune,Lucknow,DHL,Road,WH-Central,60.13,399.8,387.89,5.0,Delivered
ORD10390,2024-02-19,2024-02-19,Hyderabad,Delhi,Ekart,Air,WH-South,12.47,103.9,97.95,5.0,Delivered
ORD10053,2024-10-07,2024-10-10,Delhi,Jaipur,Delhivery,Road,WH-Central,10.18,334.3,104.21,4.0,Delivered
ORD11023,2024-06-12,2024-06-16,Mumbai,Kolkata,Delhivery,Rail,WH-South,41.89,429.3,267.93,4.0,Delivered
ORD10939,2024-10-18,2024-10-21,Mumbai,Ahmedabad,,Road,WH-West,4.66,321.2,130.98,5.0,Delivered
ORD10017,2024-11-21,2024-11-26,Hyderabad,Pune,XpressBees,Road,WH-East,36.93,578.7,206.22,5.0,Delivered
ORD10167,2024-02-08,2024-02-10,Bengaluru,Mumbai,FedEx,Air,WH-East,11.05,287.8,142.9,2.0,Delivered
ORD10714,2024-10-03,2024-10-09,Kolkata,Delhi,Delhivery,Rail,WH-North,45.9,696.1,329.67,5.0,Delivered
ORD10656,2024-06-14,2024-06-15,Ahmedabad,Mumbai,Ekart,Air,WH-Central,20.12,96.0,104.03,4.0,Delivered
ORD10619,2024-11-15,2024-11-16,delhi,Chennai,Delhivery,Air,WH-South,36.58,210.7,,4.0,Delivered
ORD10875,2024-06-11,2024-06-14,Bengaluru,Hyderabad,Delhivery,Road,WH-Central,16.5,401.1,165.62,,Delivered
ORD10657,2024-07-15,2024-07-18,Pune,Kolkata,Ekart,Road,WH-North,18.13,451.3,,1.0,Delivered
ORD10107,2024-01-13,2024-01-18,Ahmedabad,Hyderabad,FedEx,Road,WH-East,7.88,366.8,139.97,,Delivered
ORD10425,2024-04-18,,Delhi,Chennai,DHL,Road,WH-Central,17.26,191.5,149.12,3.0,Delayed
ORD10537,2024-12-14,2024-12-17,Mumbai,Chennai,XpressBees,Road,WH-West,6.72,497.1,158.7,,Delivered
ORD10649,2024-02-24,2024-02-24,Chennai,Jaipur,DHL,Air,WH-Central,34.94,48.4,195.37,2.0,Delivered
ORD10841,2024-05-28,,Bengaluru,Mumbai,DHL,Road,WH-East,35.59,363.1,279.01,5.0,Delayed
ORD10630,2024-06-26,2024-06-27,Mumbai,Kolkata,FedEx,Air,WH-Central,48.48,,221.58,5.0,Delivered
ORD10519,2024-01-13,2024-01-14,Bengaluru,Hyderabad,DHL,Air,WH-West,63.08,148.0,360.37,5.0,Delivered
ORD10754,2024-01-14,,Jaipur,Chennai,Ekart,Rail,WH-East,80.57,844.7,475.99,4.0,In Transit
ORD10002,2024-01-17,2024-01-20,Bengaluru,Ahmedabad,FedEx,Rail,WH-West,33.0,533.9,217.19,5.0,Delivered
ORD10825,2024-05-23,,Ahmedabad,Chennai,DHL,Road,WH-West,16.63,289.9,152.84,,Delayed
ORD10042,2024-06-22,2024-06-26,Ahmedabad,Pune,Delhivery,Road,WH-East,16.25,638.1,209.89,2.0,Delivered
ORD10590,2024-04-25,,Pune,Ahmedabad,Ekart,Road,WH-East,25.64,493.8,263.23,3.0,Cancelled
ORD10086,2024-10-22,2024-10-23,Bengaluru,Lucknow,Delhivery,Air,WH-South,87.63,166.5,402.48,5.0,Delivered
ORD10647,2024-01-24,2024-01-25,Bengaluru,Chennai,FedEx,Road,WH-Central,50.34,219.8,236.48,5.0,Delivered
ORD10372,2024-09-26,2024-09-27,Mumbai,Hyderabad,  FedEx  ,Air,WH-Central,10.27,105.3,121.45,4.0,Delivered
ORD10213,2024-08-18,2024-08-20,Lucknow,Mumbai,Delhivery,Road,WH-Central,22.1,275.7,171.66,5.0,Delivered
ORD10542,2024-09-24,2024-09-28,Ahmedabad,Pune,Ekart,Road,WH-North,6.99,633.7,,4.0,Delivered
ORD10430,2024-01-09,2024-01-24,Bengaluru,Jaipur,Ekart,Sea,WH-East,48.06,2191.9,461.11,4.0,Delivered
ORD10798,2024-01-08,2024-01-11,Bengaluru,Pune,BlueDart,Road,WH-Central,30.15,387.4,215.93,5.0,Delivered
ORD10880,2024-09-08,2024-09-09,Lucknow,Chennai,Ekart,Air,WH-Central,18.38,114.6,105.87,2.0,Delivered
ORD10065,2024-06-04,2024-06-06,Pune,Mumbai,Ekart,Road,WH-East,15.55,293.9,188.64,4.0,Delivered
ORD10777,2024-06-28,2024-06-29,Mumbai,Chennai,XpressBees,Air,WH-Central,12.0,193.4,132.46,,Delivered
ORD10266,04/05/2024,,Chennai,Bengaluru,DHL,Sea,WH-East,27.83,,333.5,4.0,In Transit
ORD10885,2024-10-26,2024-10-26,Pune,Lucknow,Ekart,Air,WH-West,16.06,77.0,103.99,1.0,Delivered
ORD10862,2024-05-06,2024-05-10,Hyderabad,Kolkata,Ekart,Road,WH-Central,26.57,475.3,130.12,5.0,Delivered
ORD10654,2024-10-06,2024-10-07,Jaipur,Ahmedabad,FedEx,Air,WH-North,25.59,126.2,,5.0,Delivered
ORD10333,2024-10-24,2024-10-28,Pune,Lucknow,XpressBees,Road,WH-South,14.08,509.3,137.98,4.0,Delivered
ORD10407,2024-08-25,2024-08-26,Kolkata,Mumbai,Delhivery,Air,WH-West,8.67,150.7,117.42,5.0,Delivered
ORD10982,2024-01-01,2024-01-05,Ahmedabad,Delhi,FedEx,Road,WH-North,27.49,400.0,198.89,,Delivered
ORD10675,2024-11-24,2024-11-28,Pune,Kolkata,XpressBees,Road,WH-East,17.02,316.3,105.33,3.0,Delivered
ORD10932,2024-10-20,2024-10-22,Delhi,Mumbai,DHL,Road,WH-North,,204.7,330.65,2.0,Delivered
ORD11120,2024-12-22,2024-12-29,Chennai,Kolkata,Ekart,Road,WH-South,43.84,506.6,219.67,4.0,Delivered
ORD10253,2024-08-11,2024-08-12,Pune,Mumbai,Ekart,Air,WH-South,34.02,219.7,255.22,3.0,Delivered
ORD10129,2024-05-14,2024-05-16,Bengaluru,Lucknow,XpressBees,Road,WH-South,36.18,176.9,229.12,4.0,Delivered
ORD10780,2024-03-24,2024-03-29,Chennai,Jaipur,FedEx,Road,WH-West,31.53,569.0,229.08,,Delivered
ORD10420,2024-04-23,2024-04-27,Delhi,Pune,Delhivery,Road,WH-South,34.59,276.1,167.0,3.0,Delivered
ORD10716,2024-04-06,2024-04-11,Hyderabad,Bengaluru,FedEx,Road,WH-North,24.67,653.5,196.8,,Delivered
ORD10124,2024-06-13,2024-06-16,Kolkata,Lucknow,  Delhivery  ,Road,WH-West,57.39,385.4,295.39,5.0,Delivered
ORD10307,2024-12-05,2024-12-06,Mumbai,Delhi,FedEx,Air,WH-West,11.35,188.0,-0.16,4.0,Delivered
ORD10207,2024-04-30,2024-05-01,Lucknow,Bengaluru,BlueDart,Air,WH-West,34.61,180.4,215.81,5.0,Delivered
ORD10742,2024-05-31,,Delhi,Ahmedabad,XpressBees,Road,WH-Central,32.29,615.7,165.95,4.0,In Transit
ORD10603,2024-06-15,2024-06-19,Hyderabad,Pune,Ekart,Road,WH-South,,538.7,444.11,4.0,Delivered
ORD11132,2024-12-16,2024-12-31,Delhi,Mumbai,DHL,Sea,WH-West,26.76,1126.8,273.82,4.0,Delivered
ORD10562,2024-08-22,2024-08-27,Ahmedabad,Hyderabad,BlueDart,Road,WH-North,29.04,446.1,159.15,4.0,Delivered
ORD10702,2024-05-25,2024-05-29,Bengaluru,Jaipur,FedEx,Road,WH-East,49.63,638.7,316.91,5.0,Delivered
ORD10365,2024-05-07,2024-05-12,Mumbai,Jaipur,FedEx,Road,WH-South,64.13,349.8,307.6,1.0,Delivered
ORD10234,2024-01-21,2024-01-26,Jaipur,Bengaluru,XpressBees,Road,WH-East,37.01,584.3,257.15,4.0,Delivered
ORD10998,2024-04-05,,Hyderabad,Ahmedabad,BlueDart,Road,WH-Central,60.23,304.8,422.88,5.0,In Transit
ORD10734,2024-03-17,2024-03-20,Jaipur,Lucknow,DHL,Road,WH-South,48.1,211.1,255.7,4.0,Delivered
ORD10257,2024-09-15,2024-09-20,Chennai,Kolkata,DHL,Rail,WH-North,,699.4,531.46,2.0,Delivered
ORD10146,2024-10-04,2024-10-06,Jaipur,Chennai,FedEx,Road,WH-East,9.11,190.9,73.58,5.0,Delivered
ORD10832,2024-07-03,2024-07-07,Kolkata,Bengaluru,Ekart,Road,WH-South,,458.5,292.01,4.0,Delivered
ORD10415,2024-01-12,2024-01-15,Mumbai,Delhi,FedEx,Road,WH-Central,28.59,280.6,117.11,5.0,Delivered
ORD10144,2024-09-08,,Ahmedabad,Bengaluru,XpressBees,Rail,WH-Central,46.8,479.9,,3.0,Delayed
ORD11039,2024-02-21,2024-02-27,Mumbai,Pune,BlueDart,Road,WH-West,62.35,551.2,437.04,4.0,Delivered
ORD10025,2024-03-31,2024-04-05,Kolkata,Pune,Ekart,Road,WH-South,13.65,382.5,159.78,4.0,Delivered
ORD10153,2024-08-10,2024-08-13,chennai,Pune,,Road,WH-West,,484.1,216.36,2.0,Delivered
ORD11075,2024-03-05,2024-03-12,Ahmedabad,Delhi,  XpressBees  ,Rail,WH-South,102.36,790.6,568.46,4.0,Delivered
ORD10350,2024-04-17,,chennai,Jaipur,BlueDart,Road,WH-Central,8.13,345.3,156.79,5.0,In Transit
ORD10707,2024-06-05,,Kolkata,Bengaluru,Ekart,Road,WH-Central,20.92,334.3,209.6,1.0,Cancelled
ORD10593,2024-05-04,2024-05-05,Pune,Jaipur,,Air,WH-West,24.82,115.7,162.09,4.0,Delivered
ORD10774,2024-08-19,2024-08-21,Pune,Bengaluru,Ekart,Air,WH-South,11.76,129.2,,5.0,Delivered
ORD11008,2024-04-26,2024-04-29,jaipur,Hyderabad,DHL,Road,WH-East,15.69,403.4,165.62,4.0,Delivered
ORD11006,2024-07-28,2024-08-02,Pune,Kolkata,XpressBees,Road,WH-East,55.49,648.0,342.35,4.0,Delivered
ORD10704,2024-09-24,2024-09-29,Lucknow,Kolkata,Delhivery,Road,WH-North,4.0,,64.47,4.0,Delivered
ORD10881,2024-02-09,2024-02-12,Chennai,Kolkata,XpressBees,Road,WH-East,39.96,436.6,215.51,3.0,Delivered
ORD10287,2024-09-14,2024-09-15,Chennai,Kolkata,Delhivery,Air,WH-West,7.51,96.4,58.7,,Delivered
ORD11176,2024-12-26,,Pune,Chennai,DHL,Road,WH-South,26.37,192.8,194.37,5.0,In Transit
ORD10822,2024-04-06,2024-04-09,Chennai,Kolkata,Delhivery,Road,WH-East,15.19,326.0,125.82,5.0,Delivered
ORD11090,2024-08-17,2024-08-23,Bengaluru,Pune,XpressBees,Rail,WH-North,53.83,799.1,366.48,5.0,Delivered
ORD10317,2024-11-01,2024-11-06,hyderabad,Chennai,BlueDart,Road,WH-West,80.19,670.6,432.41,4.0,Delivered
ORD10101,2024-12-29,,Hyderabad,Delhi,DHL,Road,WH-North,25.74,385.0,201.43,2.0,Delayed
ORD10480,2024-05-18,,Delhi,Ahmedabad,FedEx,Air,WH-South,25.96,106.9,86.41,4.0,Cancelled
ORD10681,2024-11-15,,Chennai,Delhi,FedEx,Road,WH-North,36.92,269.2,235.34,1.0,In Transit
ORD10301,2024-11-22,2024-11-26,Kolkata,Ahmedabad,FedEx,Road,WH-South,18.46,407.7,177.91,3.0,Delivered
ORD10611,2024-02-04,2024-02-10,Mumbai,Bengaluru,DHL,Rail,WH-Central,16.96,895.0,195.41,2.0,Delivered
ORD11019,2024-10-31,2024-11-05,jaipur,Lucknow,,Road,WH-Central,60.75,784.9,387.07,4.0,Delivered
ORD10201,2024-12-09,,Delhi,Jaipur,BlueDart,Road,WH-East,28.01,491.0,249.67,5.0,In Transit
ORD10846,2024-06-17,,Chennai,Kolkata,BlueDart,Road,WH-West,,332.7,242.98,5.0,In Transit
ORD11160,07/04/2024,,Pune,Ahmedabad,BlueDart,Road,WH-North,10.82,528.4,103.94,5.0,In Transit
ORD11152,2024-08-26,2024-08-31,hyderabad,Chennai,BlueDart,Road,WH-West,1.73,779.6,111.62,1.0,Delivered
ORD10272,2024-11-07,2024-11-08,Kolkata,Ahmedabad,FedEx,Air,WH-West,21.71,94.0,86.02,2.0,Delivered
ORD11064,2024-04-06,2024-04-17,Kolkata,Chennai,  BlueDart  ,Sea,WH-Central,14.53,1131.0,,5.0,Delivered
ORD11171,2024-02-26,2024-03-01,Jaipur,Ahmedabad,XpressBees,Rail,WH-Central,16.82,443.2,106.42,4.0,Delivered
ORD10304,2024-01-31,2024-01-31,Ahmedabad,Lucknow,Delhivery,Air,WH-South,12.0,56.5,99.53,4.0,Delivered
ORD10580,2024-07-01,2024-07-05,Kolkata,Bengaluru,BlueDart,Road,WH-South,44.87,404.4,217.6,3.0,Delivered
ORD10686,2024-03-12,,Jaipur,Hyderabad,Delhivery,Road,WH-North,66.48,175.6,389.6,5.0,Delayed
ORD10615,2024-11-02,2024-11-07,Ahmedabad,Chennai,Delhivery,Road,WH-South,7.52,598.9,139.81,4.0,Delivered
ORD10048,2024-12-25,2025-01-03,Chennai,Mumbai,BlueDart,Rail,WH-South,43.9,1153.9,342.62,4.0,Delivered
ORD10193,2024-06-22,2024-06-23,Delhi,Chennai,FedEx,Air,WH-Central,12.56,83.7,142.12,5.0,Delivered
ORD10476,2024-11-01,2024-11-04,Ahmedabad,Bengaluru,BlueDart,Road,WH-South,144.45,291.4,777.74,3.0,Delivered
ORD10945,2024-03-09,,Mumbai,Ahmedabad,DHL,Road,WH-East,65.31,284.9,366.79,4.0,In Transit
ORD10478,2024-02-04,2024-02-13,Hyderabad,Pune,BlueDart,Sea,WH-South,27.42,1200.0,289.25,4.0,Delivered
ORD11162,2024-07-12,,Kolkata,Pune,Ekart,Road,WH-West,17.99,294.7,34.78,1.0,Delayed
ORD11109,2024-07-10,,Lucknow,Hyderabad,FedEx,Road,WH-East,13.86,314.7,136.02,2.0,In Transit
ORD10325,2024-12-29,2025-01-13,Ahmedabad,Pune,DHL,Sea,WH-Central,42.49,2116.3,479.6,5.0,Delivered
ORD11178,2024-02-23,,Hyderabad,Kolkata,XpressBees,Air,WH-North,,192.5,354.06,,Delayed
ORD10684,2024-05-25,2024-05-31,Hyderabad,Pune,,Road,WH-West,17.99,832.6,149.0,3.0,Delivered
ORD11067,2024-07-10,2024-07-13,Hyderabad,Ahmedabad,FedEx,Road,WH-South,55.44,417.1,323.3,4.0,Delivered
ORD10566,2024-10-10,2024-10-19,Jaipur,Hyderabad,XpressBees,Rail,WH-South,43.39,701.8,262.96,5.0,Delivered
ORD10030,2024-05-15,2024-05-20,Bengaluru,Mumbai,DHL,Road,WH-Central,14.15,650.1,212.16,4.0,Delivered
ORD10003,2024-03-07,2024-03-10,Ahmedabad,Bengaluru,XpressBees,Road,WH-South,17.31,384.8,219.65,,Delivered
ORD10177,2024-06-17,2024-06-19,Ahmedabad,Chennai,FedEx,Road,WH-North,19.35,,181.74,3.0,Delivered
ORD10342,2024-09-26,,Hyderabad,Jaipur,BlueDart,Rail,WH-West,25.77,710.8,260.36,4.0,Delayed
ORD10136,2024-04-02,2024-04-16,Delhi,Mumbai,Delhivery,Sea,WH-Central,36.2,1283.4,255.2,5.0,Delivered
ORD10447,2024-12-17,2024-12-25,Kolkata,Pune,Ekart,Sea,WH-North,16.42,735.2,148.73,5.0,Delivered
ORD10664,2024-11-28,2024-12-03,Jaipur,Chennai,BlueDart,Road,WH-West,56.25,569.9,349.07,3.0,Delivered
ORD10736,2024-06-30,2024-07-01,Kolkata,Mumbai,Delhivery,Air,WH-South,18.66,98.7,189.59,2.0,Delivered
ORD10816,2024-04-16,2024-04-20,Delhi,Lucknow,DHL,Road,WH-South,29.74,558.3,232.2,3.0,Delivered
ORD10858,2024-07-26,,Chennai,Hyderabad,BlueDart,Road,WH-South,41.26,505.0,,5.0,In Transit
ORD10077,2024-11-05,2024-11-14,Kolkata,Mumbai,Ekart,Rail,WH-South,23.67,1321.0,195.76,5.0,Delivered
ORD10022,2024-10-27,2024-10-30,Hyderabad,Pune,BlueDart,Road,WH-Central,11.39,426.7,122.0,3.0,Delivered
ORD10803,2024-12-28,2025-01-02,Jaipur,Ahmedabad,XpressBees,Road,WH-North,21.78,486.4,240.47,1.0,Delivered
ORD10850,2024-05-23,,ahmedabad,Lucknow,Ekart,Air,WH-East,46.35,174.2,268.54,4.0,In Transit
ORD10454,2024-08-01,2024-08-01,Delhi,Pune,Delhivery,Air,WH-West,24.34,69.6,155.15,5.0,Delivered
ORD11030,2024-06-07,,Ahmedabad,Delhi,XpressBees,Air,WH-Central,62.49,80.2,310.41,3.0,Delayed
ORD10437,2024-12-17,2024-12-18,Delhi,Lucknow,BlueDart,Air,WH-Central,8.72,223.0,125.71,4.0,Delivered
ORD10854,2024-02-14,2024-02-15,Lucknow,Ahmedabad,Delhivery,Air,WH-North,19.9,153.6,143.9,1.0,Delivered
ORD10960,2024-06-04,2024-06-07,chennai,Kolkata,Ekart,Road,WH-North,20.12,396.7,209.66,4.0,Delivered
ORD10254,2024-10-01,,Jaipur,Hyderabad,FedEx,Rail,WH-East,23.12,555.6,209.14,4.0,Delayed
ORD11098,2024-01-30,2024-02-01,Bengaluru,Kolkata,FedEx,Air,WH-East,21.05,170.0,195.75,3.0,Delivered
ORD10789,2024-06-13,,Kolkata,Lucknow,Delhivery,Road,WH-South,102.37,232.0,514.38,4.0,Cancelled
ORD10494,2024-09-06,2024-09-08,Mumbai,Jaipur,FedEx,Air,WH-Central,20.95,132.4,166.3,5.0,Delivered
ORD10499,2024-11-06,2024-11-06,Mumbai,Chennai,FedEx,Air,WH-North,12.63,107.4,104.7,5.0,Delivered
ORD10140,2024-07-31,2024-08-07,Chennai,Jaipur,Delhivery,Rail,WH-North,38.34,515.8,286.07,3.0,Delivered
ORD11099,2024-12-16,2024-12-20,Pune,Lucknow,BlueDart,Road,WH-East,25.69,411.9,158.84,3.0,Delivered
ORD11041,2024-09-02,2024-09-16,Ahmedabad,Bengaluru,Delhivery,Sea,WH-North,13.64,882.5,164.58,5.0,Delivered
ORD10233,2024-05-22,2024-05-25,ahmedabad,Mumbai,BlueDart,Road,WH-North,7.5,336.2,121.23,3.0,Delivered
ORD10343,2024-08-26,2024-08-27,Mumbai,Hyderabad,Delhivery,Air,WH-West,85.78,114.5,427.09,2.0,Delivered
ORD10597,2024-11-21,,Lucknow,Hyderabad,BlueDart,Air,WH-North,35.06,101.1,166.55,5.0,Cancelled
ORD11002,2024-09-13,,Lucknow,Bengaluru,  Delhivery  ,Road,WH-West,23.72,390.5,166.87,3.0,Delayed
ORD10467,2024-10-30,2024-10-30,Ahmedabad,Delhi,XpressBees,Air,WH-West,10.44,78.2,132.47,4.0,Delivered
ORD10835,2024-10-31,2024-11-04,Delhi,Hyderabad,Ekart,Road,WH-West,35.33,428.5,239.38,4.0,Delivered
ORD10223,2024-05-01,2024-05-02,Bengaluru,Jaipur,  DHL  ,Air,WH-Central,42.26,141.9,255.9,3.0,Delivered
ORD11021,2024-06-29,,Lucknow,Chennai,Delhivery,Road,WH-Central,8.2,206.8,107.57,5.0,Delayed
ORD11042,2024-05-11,2024-05-14,Hyderabad,Pune,DHL,Rail,WH-East,28.32,230.5,175.05,5.0,Delivered
ORD10796,2024-09-27,2024-09-30,Lucknow,Ahmedabad,XpressBees,Road,WH-West,27.75,296.2,174.73,4.0,Delivered
ORD10018,2024-12-14,2024-12-25,Mumbai,Delhi,FedEx,Sea,WH-Central,20.92,1594.5,300.26,4.0,Delivered
ORD11194,2024-08-28,2024-08-31,Hyderabad,Ahmedabad,Ekart,Road,WH-North,14.49,246.4,133.9,5.0,Delivered
